var1(t-12),var2(t-12),var3(t-12),var1(t-11),var2(t-11),var3(t-11),var1(t-10),var2(t-10),var3(t-10),var1(t-9),var2(t-9),var3(t-9),var1(t-8),var2(t-8),var3(t-8),var1(t-7),var2(t-7),var3(t-7),var1(t-6),var2(t-6),var3(t-6),var1(t-5),var2(t-5),var3(t-5),var1(t-4),var2(t-4),var3(t-4),var1(t-3),var2(t-3),var3(t-3),var1(t-2),var2(t-2),var3(t-2),var1(t-1),var2(t-1),var3(t-1),var1(t),var2(t),var3(t),var1(t+1),var2(t+1),var3(t+1),var1(t+2),var2(t+2),var3(t+2),var1(t+3),var2(t+3),var3(t+3),var1(t+4),var2(t+4),var3(t+4),var1(t+5),var2(t+5),var3(t+5),var2(t+6),var3(t+6),var1(t+6)
14.111111,2.4,0.0,13.888889,2.4,0.0,13.833333,2.4,0.0,13.722222,2.4,0.0,13.444445,2.4,0.0,13.055555,2.4,0.0,12.722222,2.4,0.0,12.444445,2.4,0.0,12.222222,2.4,0.0,12.055555,2.4,0.0,11.944445,2.4,0.0,11.777778,2.4,0.0,11.611111,2.4,0.0,11.388889,2.4,0.0,11.555555,2.4,0.0,11.666667,2.4,0.0,11.444445,2.4,0.0,11.166667,2.4,0.0,2.4,0.0,11.0
13.888889,2.4,0.0,13.833333,2.4,0.0,13.722222,2.4,0.0,13.444445,2.4,0.0,13.055555,2.4,0.0,12.722222,2.4,0.0,12.444445,2.4,0.0,12.222222,2.4,0.0,12.055555,2.4,0.0,11.944445,2.4,0.0,11.777778,2.4,0.0,11.611111,2.4,0.0,11.388889,2.4,0.0,11.555555,2.4,0.0,11.666667,2.4,0.0,11.444445,2.4,0.0,11.166667,2.4,0.0,11.0,2.4,0.0,2.4,0.0,10.833333
13.833333,2.4,0.0,13.722222,2.4,0.0,13.444445,2.4,0.0,13.055555,2.4,0.0,12.722222,2.4,0.0,12.444445,2.4,0.0,12.222222,2.4,0.0,12.055555,2.4,0.0,11.944445,2.4,0.0,11.777778,2.4,0.0,11.611111,2.4,0.0,11.388889,2.4,0.0,11.555555,2.4,0.0,11.666667,2.4,0.0,11.444445,2.4,0.0,11.166667,2.4,0.0,11.0,2.4,0.0,10.833333,2.4,0.0,2.4,0.0,10.666667
13.722222,2.4,0.0,13.444445,2.4,0.0,13.055555,2.4,0.0,12.722222,2.4,0.0,12.444445,2.4,0.0,12.222222,2.4,0.0,12.055555,2.4,0.0,11.944445,2.4,0.0,11.777778,2.4,0.0,11.611111,2.4,0.0,11.388889,2.4,0.0,11.555555,2.4,0.0,11.666667,2.4,0.0,11.444445,2.4,0.0,11.166667,2.4,0.0,11.0,2.4,0.0,10.833333,2.4,0.0,10.666667,2.4,0.0,2.4,0.0,10.611111
13.444445,2.4,0.0,13.055555,2.4,0.0,12.722222,2.4,0.0,12.444445,2.4,0.0,12.222222,2.4,0.0,12.055555,2.4,0.0,11.944445,2.4,0.0,11.777778,2.4,0.0,11.611111,2.4,0.0,11.388889,2.4,0.0,11.555555,2.4,0.0,11.666667,2.4,0.0,11.444445,2.4,0.0,11.166667,2.4,0.0,11.0,2.4,0.0,10.833333,2.4,0.0,10.666667,2.4,0.0,10.611111,2.4,0.0,2.4,0.0,10.444445
13.055555,2.4,0.0,12.722222,2.4,0.0,12.444445,2.4,0.0,12.222222,2.4,0.0,12.055555,2.4,0.0,11.944445,2.4,0.0,11.777778,2.4,0.0,11.611111,2.4,0.0,11.388889,2.4,0.0,11.555555,2.4,0.0,11.666667,2.4,0.0,11.444445,2.4,0.0,11.166667,2.4,0.0,11.0,2.4,0.0,10.833333,2.4,0.0,10.666667,2.4,0.0,10.611111,2.4,0.0,10.444445,2.4,0.0,2.4,0.0,10.277778
12.722222,2.4,0.0,12.444445,2.4,0.0,12.222222,2.4,0.0,12.055555,2.4,0.0,11.944445,2.4,0.0,11.777778,2.4,0.0,11.611111,2.4,0.0,11.388889,2.4,0.0,11.555555,2.4,0.0,11.666667,2.4,0.0,11.444445,2.4,0.0,11.166667,2.4,0.0,11.0,2.4,0.0,10.833333,2.4,0.0,10.666667,2.4,0.0,10.611111,2.4,0.0,10.444445,2.4,0.0,10.277778,2.4,0.0,2.4,0.0,10.222222
12.444445,2.4,0.0,12.222222,2.4,0.0,12.055555,2.4,0.0,11.944445,2.4,0.0,11.777778,2.4,0.0,11.611111,2.4,0.0,11.388889,2.4,0.0,11.555555,2.4,0.0,11.666667,2.4,0.0,11.444445,2.4,0.0,11.166667,2.4,0.0,11.0,2.4,0.0,10.833333,2.4,0.0,10.666667,2.4,0.0,10.611111,2.4,0.0,10.444445,2.4,0.0,10.277778,2.4,0.0,10.222222,2.4,0.0,2.4,0.0,10.111111
12.222222,2.4,0.0,12.055555,2.4,0.0,11.944445,2.4,0.0,11.777778,2.4,0.0,11.611111,2.4,0.0,11.388889,2.4,0.0,11.555555,2.4,0.0,11.666667,2.4,0.0,11.444445,2.4,0.0,11.166667,2.4,0.0,11.0,2.4,0.0,10.833333,2.4,0.0,10.666667,2.4,0.0,10.611111,2.4,0.0,10.444445,2.4,0.0,10.277778,2.4,0.0,10.222222,2.4,0.0,10.111111,2.4,0.0,2.4,0.0,10.0
12.055555,2.4,0.0,11.944445,2.4,0.0,11.777778,2.4,0.0,11.611111,2.4,0.0,11.388889,2.4,0.0,11.555555,2.4,0.0,11.666667,2.4,0.0,11.444445,2.4,0.0,11.166667,2.4,0.0,11.0,2.4,0.0,10.833333,2.4,0.0,10.666667,2.4,0.0,10.611111,2.4,0.0,10.444445,2.4,0.0,10.277778,2.4,0.0,10.222222,2.4,0.0,10.111111,2.4,0.0,10.0,2.4,0.0,2.4,0.0,9.944445
